Date Built,Date Priced,Distance from Capital,Distance from Guarding Tower,Distance from Knight's house,Distance from Royal Market,Distance from the Dock,Distance from the River,Holy tree,House ID,King visited,Location,bathrooms,bedrooms,blessings,cursed,dining rooms,farm,garden,renovation
6/5/1611 11:44 PM,6/5/1611 11:44 PM,19.885265,22.395136,29.921162,92.698917,79.72455,8.059939,,6e32cece,0.0,The Mountains,2.0,2.0,140.0,0.0,2.0,small,no space,0.0
3/10/1610 2:23 PM,3/10/1610 2:23 PM,25.106037,24.82466,36.084848,141.942752,145.034612,21.44816,stands beside,6e32cf20,0.0,The Mountains,4.0,3.0,135.0,0.0,4.0,small,no space,0.0
7/26/1608 5:17 AM,7/26/1608 5:17 AM,87.174747,59.149911,98.032248,16.476015,54.645921,2.980832,cut by Ancient witch,6e32cf76,0.0,Cursed Land,3.0,2.0,73.0,1.0,2.0,small,no space,0.0
10/10/1612 2:47 PM,10/10/1612 2:47 PM,111.965941,72.036244,122.889439,99.671185,151.105728,9.879558,stands beside,6e32cf7c,0.0,Servant's Premises,2.0,2.0,48.0,0.0,3.0,small,no space,0.0
1/19/1612 7:39 AM,1/19/1612 7:39 AM,27.953048,7.977065,38.774105,50.869864,11.666815,13.758185,,6e32cf80,0.0,The Mountains,3.0,4.0,132.0,0.0,3.0,small,no space,0.0
10/25/1612 11:27 AM,10/25/1612 11:27 AM,107.687755,122.390194,118.003414,56.15136,62.104754,77.656929,stands beside,6e32cfa3,0.0,The Mountains,3.0,4.0,52.0,,3.0,small,no space,
10/2/1610 1:23 PM,10/2/1610 1:23 PM,4.460661,123.568064,15.207348,12.904976,26.174476,43.261003,stands beside,6e32cfb9,0.0,The Mountains,2.0,3.0,156.0,0.0,3.0,huge,no space,0.0
11/13/1607 5:56 PM,11/13/1607 5:56 PM,33.914079,129.504031,44.651891,26.547489,29.348649,21.44157,stands beside,6e32d01c,0.0,The Mountains,4.0,2.0,126.0,0.0,3.0,small,no space,0.0
11/15/1610 2:28 AM,11/15/1610 2:28 AM,113.152269,31.530238,123.253774,72.557943,21.926644,17.352285,stands beside,6e32d026,0.0,,4.0,3.0,47.0,0.0,3.0,huge,no space,0.0
7/9/1610 1:41 AM,7/9/1610 1:41 AM,25.960131,135.664742,36.170315,87.189539,107.670121,12.397643,stands beside,6e32d043,0.0,Cursed Land,4.0,2.0,134.0,0.0,3.0,small,no space,
8/17/1611 2:47 AM,8/17/1611 2:47 AM,23.907579,246.816762,33.962491,,82.550344,3.803399,stands beside,6e32d096,0.0,The Mountains,4.0,4.0,136.0,0.0,2.0,small,no space,1.0
1/28/1612 9:29 AM,1/28/1612 9:29 AM,13.557405,59.226068,23.662876,72.853128,28.557636,30.014551,stands beside,6e32d0c3,0.0,The Mountains,4.0,3.0,146.0,0.0,4.0,small,,0.0
10/9/1612 8:13 PM,10/9/1612 8:13 PM,0.389612,183.52295,10.676787,76.262283,13.697252,4.954523,cut by Ancient witch,6e32d1ec,0.0,The Mountains,3.0,4.0,160.0,1.0,2.0,small,no space,1.0
4/15/1610 6:12 PM,4/15/1610 6:12 PM,76.420865,162.873972,87.409035,49.1912,103.353914,10.086489,stands beside,6e32d1f2,0.0,King's Landing,4.0,,84.0,0.0,4.0,huge,no space,1.0
3/13/1609 3:16 PM,3/13/1609 3:16 PM,64.946656,175.446603,75.636355,46.298638,68.868538,5.396174,stands beside,6e32d203,0.0,The Mountains,,2.0,95.0,0.0,,small,no space,0.0
1/10/1612 8:11 PM,1/10/1612 8:11 PM,1.748233,19.886156,12.124227,7.497163,57.990603,23.781114,,6e32d2ab,0.0,The Mountains,4.0,3.0,158.0,1.0,4.0,small,no space,0.0
6/7/1611 7:52 AM,6/7/1611 7:52 AM,7.446769,67.24679,18.359321,,40.569581,33.913126,stands beside,6e32d36c,0.0,Servant's Premises,2.0,4.0,153.0,0.0,2.0,small,no space,0.0
1/12/1607 11:30 PM,1/12/1607 11:30 PM,1.989168,8.429662,12.589566,31.003335,3.97071,16.600953,stands beside,6e32d38b,0.0,,3.0,3.0,158.0,,4.0,small,no space,0.0
8/18/1611 9:20 AM,8/18/1611 9:20 AM,66.191359,22.343751,76.721818,67.070563,19.750074,22.157901,cut by Ancient witch,6e32d421,0.0,,4.0,3.0,94.0,1.0,3.0,huge,no space,1.0
4/6/1607 5:52 PM,4/6/1607 5:52 PM,6.77252,86.041208,17.056877,71.961814,42.957437,20.046498,,6e32d42d,0.0,The Mountains,4.0,4.0,153.0,0.0,3.0,huge,no space,0.0
12/6/1610 12:38 PM,12/6/1610 12:38 PM,,60.636172,,49.784776,51.623169,73.076954,,6e32d449,0.0,The Mountains,4.0,2.0,74.0,0.0,2.0,small,no space,0.0
5/2/1612 2:17 AM,5/2/1612 2:17 AM,4.240613,86.768838,15.039813,0.056192,41.154721,59.176882,cut by Ancient witch,6e32d44b,0.0,The Mountains,4.0,2.0,156.0,1.0,3.0,small,no space,0.0
4/12/1609 12:41 PM,4/12/1609 12:41 PM,41.317943,178.927552,51.497693,33.478997,71.336772,51.335656,stands beside,6e32d4e1,0.0,The Mountains,3.0,4.0,119.0,0.0,4.0,huge,no space,0.0
7/4/1612 1:14 AM,7/4/1612 1:14 AM,65.309158,221.298896,75.960018,30.275938,35.769082,38.675315,stands beside,6e32d4f0,0.0,The Mountains,3.0,4.0,95.0,0.0,4.0,small,no space,0.0
8/27/1607 7:29 PM,8/27/1607 7:29 PM,61.702067,141.712522,72.539696,11.32475,79.188128,34.670542,stands beside,6e32d54b,0.0,The Mountains,4.0,3.0,98.0,0.0,4.0,huge,no space,0.0
2/11/1608 7:41 AM,2/11/1608 7:41 AM,32.879055,283.147522,42.961426,,46.85159,22.538109,stands beside,6e32d58d,0.0,The Mountains,4.0,4.0,127.0,0.0,2.0,small,no space,0.0
12/20/1607 11:23 AM,12/20/1607 11:23 AM,66.730939,239.111354,76.922163,18.32928,4.325021,40.574407,stands beside,6e32d592,0.0,The Mountains,3.0,3.0,93.0,0.0,3.0,small,no space,1.0
2/14/1612 12:56 AM,2/14/1612 12:56 AM,,55.626511,,,,28.201212,cut by Ancient witch,6e32d606,0.0,The Mountains,3.0,4.0,74.0,1.0,2.0,huge,no space,0.0
6/16/1607 3:48 PM,6/16/1607 3:48 PM,30.282241,168.159665,40.467183,19.718421,60.041665,16.411476,stands beside,6e32d6b3,0.0,Cursed Land,3.0,4.0,130.0,0.0,4.0,small,no space,1.0
9/23/1610 6:35 PM,9/23/1610 6:35 PM,17.902866,133.399496,28.529637,,43.784867,40.842328,stands beside,6e32d737,0.0,Servant's Premises,3.0,2.0,142.0,0.0,,small,no space,1.0
1/28/1610 8:30 AM,1/28/1610 8:30 AM,26.331445,98.460481,37.191966,80.134874,24.135703,63.64297,stands beside,6e32d796,0.0,Cursed Land,4.0,4.0,134.0,0.0,4.0,small,no space,0.0
8/4/1608 6:43 PM,8/4/1608 6:43 PM,37.824891,121.164161,48.817951,49.004623,,1.634429,stands beside,6e32d7bb,1.0,Cursed Land,3.0,3.0,122.0,0.0,2.0,no land,beautiful,0.0
5/18/1611 5:42 AM,5/18/1611 5:42 AM,73.420637,125.782124,83.584329,16.007932,79.460174,42.514322,cut by Ancient witch,6e32d7d4,0.0,Cursed Land,2.0,4.0,87.0,1.0,2.0,small,no space,0.0
8/3/1608 12:13 AM,8/3/1608 12:13 AM,,96.961249,,27.228916,93.789476,19.106745,stands beside,6e32d7d7,0.0,King's Landing,4.0,3.0,74.0,0.0,3.0,small,no space,0.0
10/21/1607 7:49 PM,10/21/1607 7:49 PM,68.106277,157.214331,78.678838,6.281158,,1.30566,stands beside,6e32d801,0.0,The Mountains,2.0,3.0,92.0,,2.0,huge,no space,0.0
2/3/1607 5:17 PM,2/3/1607 5:17 PM,43.141044,103.910529,54.014333,58.389994,6.732315,65.566391,stands beside,6e32d87b,0.0,The Mountains,4.0,3.0,117.0,0.0,4.0,huge,no space,1.0
2/25/1608 11:37 PM,2/25/1608 11:37 PM,102.687432,102.336475,112.785726,,,45.915359,stands beside,6e32d883,0.0,King's Landing,3.0,4.0,57.0,,3.0,huge,no space,1.0
2/25/1609 1:41 AM,2/25/1609 1:41 AM,136.09652,58.350817,146.553567,,76.110557,69.859417,,6e32d893,1.0,The Mountains,4.0,2.0,24.0,0.0,4.0,no land,beautiful,0.0
10/15/1610 10:24 PM,10/15/1610 10:24 PM,36.762566,64.579928,47.052446,22.115577,45.033933,32.737418,,6e32d8a3,0.0,,4.0,2.0,123.0,0.0,4.0,huge,no space,1.0
5/25/1611 9:19 AM,5/25/1611 9:19 AM,35.499768,203.139171,45.543414,5.779047,19.041536,81.531191,stands beside,6e32d8b6,1.0,King's Landing,,3.0,125.0,0.0,3.0,no land,beautiful,0.0
2/3/1610 2:40 AM,2/3/1610 2:40 AM,0.59323,70.516792,10.877002,62.553356,36.87605,16.944653,stands beside,6e32d8d7,0.0,The Mountains,4.0,3.0,159.0,0.0,4.0,small,no space,0.0
8/26/1608 4:33 PM,8/26/1608 4:33 PM,44.10633,74.43211,54.718721,63.911395,93.408414,47.713764,,6e32d8d9,0.0,The Mountains,,3.0,116.0,0.0,2.0,small,no space,0.0
7/12/1607 5:58 AM,7/12/1607 5:58 AM,7.8924,31.617604,18.404753,,18.82097,4.305256,stands beside,6e32d8f7,0.0,The Mountains,4.0,2.0,152.0,0.0,,small,no space,0.0
6/21/1611 4:20 AM,6/21/1611 4:20 AM,,246.072701,,50.373518,71.906704,43.102882,cut by Ancient witch,6e32d943,0.0,The Mountains,4.0,3.0,74.0,1.0,,huge,no space,0.0
11/9/1608 10:34 AM,11/9/1608 10:34 AM,,193.202824,,69.587299,79.774872,53.800283,stands beside,6e32d96b,0.0,,4.0,3.0,74.0,0.0,2.0,small,,0.0
5/17/1607 12:34 AM,5/17/1607 12:34 AM,71.862957,101.596351,82.445956,17.769546,6.978297,53.54491,stands beside,6e32d9ce,0.0,Cursed Land,3.0,3.0,88.0,0.0,3.0,small,no space,1.0
4/4/1607 12:34 PM,4/4/1607 12:34 PM,,234.063192,,58.31123,15.696661,36.910947,stands beside,6e32da31,0.0,The Mountains,2.0,3.0,74.0,0.0,3.0,huge,no space,0.0
3/11/1612 4:37 PM,3/11/1612 4:37 PM,,141.416889,,6.747294,29.374406,17.243022,stands beside,6e32da82,0.0,King's Landing,,2.0,74.0,0.0,4.0,small,no space,
9/11/1612 4:27 PM,9/11/1612 4:27 PM,44.954367,124.487636,55.131704,40.29187,126.875824,14.135243,stands beside,6e32daaa,1.0,Cursed Land,2.0,4.0,115.0,0.0,2.0,no land,beautiful,0.0
2/11/1608 5:55 PM,2/11/1608 5:55 PM,6.222194,157.652878,16.810948,54.605786,,30.778788,stands beside,6e32dab3,0.0,The Mountains,3.0,2.0,154.0,0.0,4.0,small,no space,1.0
12/4/1607 6:23 AM,12/4/1607 6:23 AM,40.910814,73.33682,51.798331,49.482409,49.174141,52.53803,stands beside,6e32db00,0.0,The Mountains,3.0,4.0,119.0,,2.0,small,no space,1.0
10/13/1608 12:20 AM,10/13/1608 12:20 AM,8.076949,168.262226,19.064388,70.833074,13.33793,45.141874,stands beside,6e32db53,1.0,King's Landing,4.0,3.0,152.0,0.0,,no land,beautiful,0.0
